Company,Symbol,Weight
Keycorp,KEY,0.028743
Caesars Entertainment Inc,CZR,0.028737
Henry Schein Inc,HSIC,0.028468
Gen Digital Inc,GEN,0.028452
Marketaxess Holdings Inc,MKTX,0.028399
Eastman Chemical Co,EMN,0.028026
Allegion Plc,ALLE,0.027926
Pentair Plc,PNR,0.027763
Fox Corp   Class A,FOXA,0.027662
American Airlines Group Inc,AAL,0.027565
Qorvo Inc,QRVO,0.027554
Ceridian Hcm Holding Inc,CDAY,0.027377
Globe Life Inc,GL,0.027226
Juniper Networks Inc,JNPR,0.026912
Rollins Inc,ROL,0.026576
Regency Centers Corp,REG,0.026214
Bath & Body Works Inc,BBWI,0.026119
Campbell Soup Co,CPB,0.025928
Pinnacle West Capital,PNW,0.025164
Smith (a.O.) Corp,AOS,0.025004
Universal Health Services B,UHS,0.024602
F5 Inc,FFIV,0.024086
Huntington Ingalls Industrie,HII,0.023729
Dentsply Sirona Inc,XRAY,0.023704
Paramount Global Class B,PARA,0.023025
Nrg Energy Inc,NRG,0.022277
Robert Half Intl Inc,RHI,0.022242
Whirlpool Corp,WHR,0.022099
Bio Rad Laboratories A,BIO,0.022079
Hasbro Inc,HAS,0.021681
Westrock Co,WRK,0.021467
Boston Properties Inc,BXP,0.02132
News Corp   Class A,NWSA,0.021066
Franklin Resources Inc,BEN,0.02093
Generac Holdings Inc,GNRC,0.020568
Invesco Ltd,IVZ,0.020159
Catalent Inc,CTLT,0.020108
Federal Realty Invs Trust,FRT,0.019839
Norwegian Cruise Line Holdin,NCLH,0.019629
Assurant Inc,AIZ,0.018697
Vf Corp,VFC,0.018086
Dxc Technology Co,DXC,0.017063
Alaska Air Group Inc,ALK,0.016681
Sealed Air Corp,SEE,0.016556
Comerica Inc,CMA,0.016045
Davita Inc,DVA,0.015573
Mohawk Industries Inc,MHK,0.014456
Organon & Co,OGN,0.014373
Ralph Lauren Corp,RL,0.013631
Zions Bancorp Na,ZION,0.013197
Fox Corp   Class B,FOX,0.012115
Advance Auto Parts Inc,AAP,0.011026
Lincoln National Corp,LNC,0.010317
Newell Brands Inc,NWL,0.009356
News Corp   Class B,NWS,0.006645
Dish Network Corp A,DISH,0.005344
